PC1,PC2,Cluster,HC_Cluster,DBscan_Cluster
-0.19703599100014693,-0.05174666122473594,1,0,0
0.31612960207098456,-0.2923404284186523,0,0,0
-1.5310517554682808,-1.7757101830288529,0,0,0
-1.4515197416360013,-0.939390505094814,0,0,0
-1.7886256671212926,-0.536793006831745,0,0,0
-0.8732419574405661,-0.6753803732205707,0,0,0
2.3025074533549987,2.2028229651972016,2,1,1
-0.5239121685239513,0.8110037274170186,1,3,0
2.9326295774393842,1.0593978724542312,2,1,1
-0.787634359852338,1.652738118031954,1,3,0
0.9933422419071015,-1.299885655732769,0,0,0
5.047448772278992,0.6250536042853471,2,1,-1
-0.5782256584027973,-0.6106617886262418,0,0,0
1.2751152489087283,0.1270410021475728,2,2,1
-0.34621302182328134,-0.019673114881414013,1,0,0
0.7811538997473648,-0.6735726926684816,0,0,1
-0.0006872917380748203,-1.5187972086088968,0,2,1
-0.17233876655286814,0.7602109276323438,1,2,1
-0.8727628740851642,-1.2134416760967337,0,0,0
-0.4592500754790415,1.6537320694433988,1,2,1
-0.5183270475442541,0.4335679060705971,1,0,0
-1.0475061710123033,-0.37078154051763196,0,0,0
-0.03675330555132661,0.4481200218699392,1,2,1
0.48409180749181374,1.4493537366065912,1,3,0
-1.037319150533912,-0.5830853233937143,0,0,0
2.031675680374433,0.27092042620406603,2,2,1
1.6977571216828573,4.614009149880124,2,2,-1
0.3719347785097614,-1.2102506422581825,0,2,1
-1.1562588589809506,-0.7318585014694547,0,0,0
-1.2184167164763897,-0.07417326105534928,1,3,0
-1.6915920348888023,0.5999392776130402,1,3,0
-0.9766901765693238,0.3385113524882636,1,3,0
-0.9560815281253515,-0.3616447329788646,1,0,0
-0.2815584281124009,-1.9744360693756402,0,0,0
0.06406495753205467,0.5641903912602318,1,2,1
-1.1539233089394372,-0.2670762791346476,1,0,0
-1.1641309447830346,0.514392913530754,1,0,0
0.3503244403122645,1.7313048659862575,1,3,0
2.7093935382664744,2.81950275823896,2,1,1
0.6486566688325558,0.10746731432946405,0,2,1
-1.4654247863944996,-1.0953975699781662,0,0,0
-1.5606748833876547,1.1252418560011874,1,3,0
1.779080832420632,-3.5778166147121078,0,1,-1
3.6730002581085834,-0.9626073756352368,2,1,1
3.6040467807407777,0.5397164651351692,2,1,-1
-2.29249664429039,0.05392464466349182,1,3,0
-0.7671951420142509,1.247684023617651,1,3,0
-1.3699060068052453,-0.7562817706835553,0,0,0
-1.094803436134935,0.3718505401285522,1,2,1
-1.5984079080273277,-0.6257045367976996,0,0,0
-0.9912142512664468,0.8307601598261545,1,3,0
-1.329552547006405,0.039804949447374054,1,0,0
4.371476671667489,-1.1727826337872778,2,1,-1
-2.3500483427116237,0.36759420170028484,1,0,0
1.8968017823011676,2.9486627008027892,2,1,1
-1.450106787939083,-0.7629246568363711,0,0,0
1.5940780949419877,-0.46647481508373695,2,1,-1
2.99538093105248,-2.4930059422362345,2,1,1
-2.0309686227220127,0.08642215119115802,1,3,0
-0.427452207726629,0.005445502262948207,1,0,0
3.2719889394751376,1.314358433881242,2,1,1
0.2525197394532125,-2.211331907718353,0,0,1
-0.8517872610622014,-0.07783881769676472,1,2,1
-2.512440316054689,0.893741575944929,1,3,0
0.7102595799018815,0.3393420706087868,2,1,1
4.496910696558427,1.5543506077774871,2,1,1
-0.8955115672243292,0.6561424892626322,1,3,0
